==== Semiconductor Fail Address Log ====
Timestamp: 2024-12-01 21:41:22
----------------------------------------
Fail 1: Bank: 0x00, X: 0x1265, Y: 0x058
Fail 2: Bank: 0x02, X: 0x23C8, Y: 0x115
Fail 3: Bank: 0x05, X: 0x19E5, Y: 0x0C8
Fail 4: Bank: 0x0D, X: 0x0DD6, Y: 0x015
Fail 5: Bank: 0x04, X: 0x2F53, Y: 0x05C
Fail 6: Bank: 0x10, X: 0x3FD3, Y: 0x13F
Fail 7: Bank: 0x10, X: 0x2ADD, Y: 0x337
Fail 8: Bank: 0x05, X: 0x1F37, Y: 0x1D4
Fail 9: Bank: 0x01, X: 0x0174, Y: 0x207
Fail 10: Bank: 0x0F, X: 0x2903, Y: 0x08C
Fail 11: Bank: 0x01, X: 0x0E49, Y: 0x102
Fail 12: Bank: 0x09, X: 0x038B, Y: 0x1A8
Fail 13: Bank: 0x08, X: 0x3EAB, Y: 0x3DC
Fail 14: Bank: 0x01, X: 0x0D53, Y: 0x3F8
Fail 15: Bank: 0x05, X: 0x19E5, Y: 0x1A2
Fail 16: Bank: 0x01, X: 0x3281, Y: 0x1EF
Fail 17: Bank: 0x04, X: 0x0228, Y: 0x17B
Fail 18: Bank: 0x0B, X: 0x1ACF, Y: 0x150
Fail 19: Bank: 0x04, X: 0x2CB5, Y: 0x1B8
Fail 20: Bank: 0x04, X: 0x0010, Y: 0x132
Fail 21: Bank: 0x0C, X: 0x3EB2, Y: 0x0C1
Fail 22: Bank: 0x05, X: 0x0191, Y: 0x13A
Fail 23: Bank: 0x0C, X: 0x0976, Y: 0x3C2
Fail 24: Bank: 0x05, X: 0x2311, Y: 0x258
Fail 25: Bank: 0x03, X: 0x1C33, Y: 0x120
Fail 26: Bank: 0x0F, X: 0x25F9, Y: 0x082
Fail 27: Bank: 0x03, X: 0x1A43, Y: 0x11D
Fail 28: Bank: 0x00, X: 0x221B, Y: 0x20B
Fail 29: Bank: 0x03, X: 0x0C84, Y: 0x13B
Fail 30: Bank: 0x0E, X: 0x3F2C, Y: 0x0AB
Fail 31: Bank: 0x07, X: 0x0986, Y: 0x33B
Fail 32: Bank: 0x0A, X: 0x02A1, Y: 0x165
Fail 33: Bank: 0x09, X: 0x237A, Y: 0x2C5
Fail 34: Bank: 0x08, X: 0x1DCE, Y: 0x3B5
Fail 35: Bank: 0x0D, X: 0x1C21, Y: 0x124
Fail 36: Bank: 0x03, X: 0x164A, Y: 0x1DE
Fail 37: Bank: 0x03, X: 0x3E30, Y: 0x09A
Fail 38: Bank: 0x10, X: 0x1703, Y: 0x32B
Fail 39: Bank: 0x04, X: 0x38DD, Y: 0x132
Fail 40: Bank: 0x02, X: 0x0290, Y: 0x279
